id,First,Last,GradYear,City,Major,Company,ConnectionList
110,Maya,Harris,1994,Huston,Phyisics,Intel Corporation,
111,Maya,Patel,1977,Seattle,Chemistry,Twilio Inc.,
112,Maya,Mendoza,2010,Huston,Civil Engineering,Snap Inc.,
113,Maya,Diaz,2011,Austin,Biology,NVIDIA Corporation,
114,Maya,Anderson,2010,Miami,Electrical Engineering,Cisco Systems,
115,Maya,Bailey,2011,Quebec,Civil Engineering,Zillow Group,
116,Maya,Campbell,2002,Boston,Chemistry,Pinterest Inc.,
117,Maya,Martinez,1985,Miami,Phyisics,Adobe Inc.,
118,Maya,Jenkins,2010,Boise,Phyisics,Twilio Inc.,
119,Maya,Carter,1993,Boise,Biology,Yelp Inc.,
120,Maya,Hall,2002,Miami,Electrical Engineering,Dropbox Inc.,
121,Maya,Price,2013,Boston,Biology,IBM Corporation,
122,Maya,Phillips,2012,Boise,Electrical Engineering,Yelp Inc.,
123,Maya,Hill,1996,Los Angles,Chemistry,Amazon.com Inc.,
124,Maya,Garcia,1976,Boise,Biology,eBay Inc.,
125,Maya,Lewis,2012,Los Angles,Computer Science,AMD Inc.,
126,Maya,Gray,2013,Tampa,Phyisics,Amazon.com Inc.,
127,Maya,Ramos,2020,dallas,Criminal Justice,Shopify Inc.,
128,Maya,Ross,1983,Austin,Biology,TikTok Inc.,
129,Maya,Kelly,2009,Quebec,Mechanical engineering,Wayfair Inc.,
130,Maya,Wilson,2009,Boston,Accounting,SquareSpace,
131,Maya,Moore,1987,Boise,Chemistry,Samsung Electronics,
132,Maya,Rivera,2008,San Fransisco,Phyisics,eBay Inc.,
133,Maya,Stewart,1987,Toronto,Computer Science,Sony Corporation,
134,Maya,Walker,2008,Austin,Computer Science,Slack Technologies,
135,Maya,Evans,2024,Austin,Business,Baidu Inc.,
136,Maya,Young,2011,Boston,Chemistry,Palantir Technologies,
137,Maya,Collins,2012,Seattle,Phyisics,Baidu Inc.,
138,Maya,Taylor,2002,Miami,Civil Engineering,Baidu Inc.,
139,Maya,Clark,1977,Miami,Business,Samsung Electronics,
140,Maya,Brown,1989,Boise,Criminal Justice,Apple Inc.,
141,Maya,Cook,2016,San Fransisco,Criminal Justice,eBay Inc.,
142,Maya,Davis,2006,Toronto,Civil Engineering,Zoom Video Communications,
143,Maya,Brooks,2022,Boise,Criminal Justice,Qualcomm Inc.,
144,Maya,Reyes,1989,Boise,Civil Engineering,Adobe Inc.,
145,Maya,Myers,2011,Toronto,Phyisics,Adobe Inc.,
146,Maya,Scott,2020,San Fransisco,Mechanical engineering,Alphabet Inc.,
147,Maya,Murphy,2020,Huston,Chemistry,Uber Technologies,
148,Maya,Foster,2020,Anchorage,Chemistry,Atlassian Corporation,
149,Maya,Adams,1999,Quebec,Business,Wayfair Inc.,
150,Maya,Williams,2000,Huston,Phyisics,Intel Corporation,
151,Maya,Thomas,1984,Los Angles,Civil Engineering,Vimeo Inc.,
152,Maya,Gutierrez,1990,Huston,Electrical Engineering,Samsung Electronics,
153,Maya,Edwards,1999,Quebec,Business,Palantir Technologies,
154,Maya,Jackson,1989,Tampa,Biology,Sony Corporation,
155,Maya,Jones,2010,Austin,Biology,Yelp Inc.,
156,Maya,Ward,2010,dallas,Business,Qualcomm Inc.,
157,Maya,Thompson,1998,Austin,Computer Science,Adobe Inc.,
158,Maya,Bennett,2007,Austin,Business,Pinterest Inc.,
159,Maya,Lee,1977,Los Angles,Computer Science,Slack Technologies,
160,Maya,Flores,1985,Anchorage,Computer Science,Intel Corporation,
161,Maya,Baker,1992,Tampa,Civil Engineering,Etsy Inc.,
162,Maya,King,2012,dallas,Accounting,Baidu Inc.,
163,Maya,Cox,2014,Boise,Mechanical engineering,eBay Inc.,
164,Maya,Richardson,2008,Los Angles,Mechanical engineering,Amazon.com Inc.,
165,Maya,Gomez,2003,Miami,Computer Science,Zoom Video Communications,
166,Maya,White,2024,Tampa,Accounting,eBay Inc.,
167,Maya,Lopez,2016,Toronto,Biology,Amazon.com Inc.,
168,Maya,Gonzalez,1990,Seattle,Electrical Engineering,Apple Inc.,
169,Maya,Miller,2024,Los Angles,Biology,Robinhood Markets,
170,Maya,Kim,2003,Boise,Criminal Justice,Intuit Inc.,
171,Maya,Mitchell,1989,Tampa,Phyisics,Vimeo Inc.,
172,Maya,Hernandez,2020,Boston,Biology,Apple Inc.,
173,Maya,Robinson,1996,Anchorage,Criminal Justice,PayPal Holdings,
174,Maya,Wright,1989,Anchorage,Business,Twilio Inc.,
175,Maya,Johnson,1993,Miami,Biology,Atlassian Corporation,
176,Maya,Ortiz,2024,Tampa,Electrical Engineering,SquareSpace,
177,Maya,Green,1985,San Fransisco,Mechanical engineering,Square Inc.,
178,Maya,Reed,2017,Huston,Criminal Justice,Spotify Technology,
179,Maya,Parker,2023,San Fransisco,Accounting,Zillow Group,
180,Maya,Watson,2018,Tampa,Accounting,Baidu Inc.,
181,Maya,Perez,1979,Miami,Civil Engineering,TikTok Inc.,
182,Maya,Howard,2023,Los Angles,Electrical Engineering,DocuSign Inc.,
183,Maya,Castillo,1995,Los Angles,Accounting,Lyft Inc.,
184,Maya,Perry,2018,Boise,Computer Science,Pinterest Inc.,
185,Maya,Wood,2007,Austin,Business,PayPal Holdings,
186,Maya,Roberts,2004,dallas,Mechanical engineering,Wayfair Inc.,
187,Maya,Peterson,2000,San Fransisco,Phyisics,Qualcomm Inc.,
188,Maya,Sanders,1995,Tampa,Chemistry,AMD Inc.,
189,Maya,Morales,1982,dallas,Electrical Engineering,Alibaba Group,
190,Maya,Cooper,2004,Miami,Computer Science,Apple Inc.,
191,Maya,Jimenez,1983,Boston,Mechanical engineering,Samsung Electronics,
192,Maya,Chavez,2001,Miami,Electrical Engineering,Cisco Systems,
193,Maya,Nguyen,2014,San Fransisco,Computer Science,Slack Technologies,
194,Maya,Ramirez,1994,San Fransisco,Biology,Samsung Electronics,
195,Maya,Morgan,1982,Toronto,Phyisics,Adobe Inc.,
196,Maya,Morris,2015,Miami,Criminal Justice,Tesla Inc.,
197,Maya,Cruz,1989,Huston,Electrical Engineering,Intel Corporation,
198,Maya,Hughes,1984,dallas,Criminal Justice,Facebook Inc.,
199,Maya,Martin,1992,Quebec,Business,Etsy Inc.,
200,Maya,Nelson,2021,Toronto,Accounting,NVIDIA Corporation,
201,Asher,Rodriguez,2022,Boston,Civil Engineering,AMD Inc.,
202,Asher,Turner,2000,Boston,Phyisics,Apple Inc.,
203,Asher,Ruiz,2018,New york,Civil Engineering,Alphabet Inc.,
204,Asher,Allen,2021,Quebec,Criminal Justice,Pinterest Inc.,
205,Asher,Alvarez,2023,Seattle,Civil Engineering,DocuSign Inc.,
206,Asher,James,1993,Austin,Electrical Engineering,Netflix Inc.,
207,Asher,Long,1981,Anchorage,Criminal Justice,Zoom Video Communications,
208,Asher,Torres,1980,Toronto,Mechanical engineering,Zillow Group,
209,Asher,Rogers,1994,Tampa,Criminal Justice,Adobe Inc.,
210,Asher,Harris,1984,Tampa,Criminal Justice,Tesla Inc.,
211,Asher,Patel,2011,Tampa,Mechanical engineering,TikTok Inc.,
212,Asher,Mendoza,1985,Quebec,Civil Engineering,Airbnb Inc.,
213,Asher,Diaz,2008,Tampa,Phyisics,Dropbox Inc.,
214,Asher,Anderson,1994,San Fransisco,Phyisics,Qualcomm Inc.,
215,Asher,Bailey,1980,Boise,Computer Science,NVIDIA Corporation,
216,Asher,Campbell,1996,Seattle,Business,DocuSign Inc.,
217,Asher,Martinez,2018,Boston,Electrical Engineering,Spotify Technology,
218,Asher,Jenkins,2010,Boise,Mechanical engineering,Dell Technologies,
219,Asher,Carter,2002,Tampa,Chemistry,Zillow Group,
220,Asher,Hall,2024,Miami,Computer Science,Zillow Group,
221,Asher,Price,2011,dallas,Electrical Engineering,Palantir Technologies,
222,Asher,Phillips,1982,San Fransisco,Electrical Engineering,HP Inc.,
223,Asher,Hill,1996,Tampa,Business,Microsoft Corporation,
224,Asher,Garcia,1983,Tampa,Phyisics,Baidu Inc.,
225,Asher,Lewis,1983,Austin,Phyisics,PayPal Holdings,
226,Asher,Gray,2024,Miami,Civil Engineering,Sony Corporation,
227,Asher,Ramos,1977,Boise,Phyisics,Atlassian Corporation,
228,Asher,Ross,2018,Anchorage,Mechanical engineering,Atlassian Corporation,
229,Asher,Kelly,1989,Anchorage,Computer Science,Coinbase Global,
230,Asher,Wilson,2017,Huston,Civil Engineering,Snap Inc.,
231,Asher,Moore,1984,Quebec,Civil Engineering,Spotify Technology,
232,Asher,Rivera,1988,San Fransisco,Accounting,Adobe Inc.,
233,Asher,Stewart,1984,Boston,Civil Engineering,Vimeo Inc.,
234,Asher,Walker,1995,Seattle,Criminal Justice,Apple Inc.,
235,Asher,Evans,2024,Los Angles,Phyisics,Vimeo Inc.,
236,Asher,Young,1982,San Fransisco,Computer Science,Shopify Inc.,
237,Asher,Collins,2017,Toronto,Criminal Justice,Adobe Inc.,
238,Asher,Taylor,2015,dallas,Computer Science,Square Inc.,
239,Asher,Clark,1998,San Fransisco,Civil Engineering,eBay Inc.,
240,Asher,Brown,1998,dallas,Electrical Engineering,Qualcomm Inc.,
241,Asher,Cook,1987,Los Angles,Mechanical engineering,Dell Technologies,
242,Asher,Davis,1981,dallas,Business,Samsung Electronics,
243,Asher,Brooks,2009,Miami,Criminal Justice,Amazon.com Inc.,
244,Asher,Reyes,1981,San Fransisco,Business,Baidu Inc.,
245,Asher,Myers,1978,San Fransisco,Phyisics,SquareSpace,
246,Asher,Scott,2002,Huston,Electrical Engineering,Qualcomm Inc.,
247,Asher,Murphy,1986,Miami,Computer Science,Vimeo Inc.,
248,Asher,Foster,1984,Austin,Electrical Engineering,Coinbase Global,
249,Asher,Adams,1993,Miami,Computer Science,Intuit Inc.,
250,Asher,Williams,2013,Toronto,Mechanical engineering,Tesla Inc.,
251,Asher,Thomas,1993,Quebec,Mechanical engineering,Twilio Inc.,
252,Asher,Gutierrez,2020,Quebec,Biology,Apple Inc.,
253,Asher,Edwards,1987,Seattle,Phyisics,NVIDIA Corporation,
254,Asher,Jackson,1987,Huston,Biology,Palantir Technologies,
255,Asher,Jones,1994,Los Angles,Civil Engineering,Facebook Inc.,
256,Asher,Ward,2000,Toronto,Accounting,Tesla Inc.,
257,Asher,Thompson,2021,Austin,Phyisics,Zoom Video Communications,
258,Asher,Bennett,1976,Seattle,Computer Science,Facebook Inc.,
259,Asher,Lee,2001,Seattle,Chemistry,Oracle Corporation,
260,Asher,Flores,1984,Tampa,Civil Engineering,Zillow Group,
261,Asher,Baker,1984,Seattle,Chemistry,Intel Corporation,
262,Asher,King,2001,Seattle,Business,Snap Inc.,
263,Asher,Cox,1986,New york,Biology,Zoom Video Communications,
264,Asher,Richardson,2019,Toronto,Business,Samsung Electronics,
265,Asher,Gomez,2002,Boston,Computer Science,NVIDIA Corporation,
266,Asher,White,1996,Huston,Business,Cisco Systems,
267,Asher,Lopez,1999,Tampa,Criminal Justice,Zoom Video Communications,
268,Asher,Gonzalez,2014,Anchorage,Computer Science,Wayfair Inc.,
269,Asher,Miller,2020,Quebec,Phyisics,Intuit Inc.,
270,Asher,Kim,2012,Miami,Biology,Etsy Inc.,
271,Asher,Mitchell,2007,San Fransisco,Accounting,Etsy Inc.,
272,Asher,Hernandez,2002,Miami,Mechanical engineering,Etsy Inc.,
273,Asher,Robinson,2007,Anchorage,Criminal Justice,Zoom Video Communications,
274,Asher,Wright,2010,Los Angles,Criminal Justice,Snap Inc.,
275,Asher,Johnson,1994,Quebec,Mechanical engineering,DocuSign Inc.,
276,Asher,Ortiz,1987,Boise,Computer Science,Oracle Corporation,
277,Asher,Green,2002,Huston,Electrical Engineering,Uber Technologies,
278,Asher,Reed,1997,Boise,Criminal Justice,Etsy Inc.,
279,Asher,Parker,1983,Austin,Mechanical engineering,Lyft Inc.,
280,Asher,Watson,2015,Tampa,Accounting,Samsung Electronics,
281,Asher,Perez,2015,Miami,Chemistry,HP Inc.,
282,Asher,Howard,2018,Anchorage,Chemistry,Cisco Systems,
283,Asher,Castillo,2006,Anchorage,Biology,SquareSpace,
284,Asher,Perry,1985,Toronto,Electrical Engineering,eBay Inc.,
285,Asher,Wood,1998,Boston,Biology,Vimeo Inc.,
286,Asher,Roberts,1992,Anchorage,Phyisics,Yelp Inc.,
287,Asher,Peterson,1976,Boston,Civil Engineering,Microsoft Corporation,
288,Asher,Sanders,1995,Seattle,Business,IBM Corporation,
289,Asher,Morales,1981,Boise,Civil Engineering,DocuSign Inc.,
290,Asher,Cooper,1995,Boston,Mechanical engineering,Robinhood Markets,
291,Asher,Jimenez,2003,Austin,Computer Science,NVIDIA Corporation,
292,Asher,Chavez,1986,Quebec,Biology,Pinterest Inc.,
293,Asher,Nguyen,1976,Los Angles,Biology,Tesla Inc.,
294,Asher,Ramirez,2006,Los Angles,Phyisics,Lyft Inc.,
295,Asher,Morgan,2004,Miami,Phyisics,Slack Technologies,
296,Asher,Morris,2015,New york,Civil Engineering,DocuSign Inc.,
297,Asher,Cruz,1976,San Fransisco,Computer Science,Cisco Systems,
298,Asher,Hughes,2003,dallas,Computer Science,Slack Technologies,
299,Asher,Martin,1996,dallas,Electrical Engineering,Adobe Inc.,
300,Asher,Nelson,2013,New york,Biology,Pinterest Inc.,
301,Brooklyn,Rodriguez,1999,Boston,Chemistry,TikTok Inc.,
302,Brooklyn,Turner,2023,New york,Chemistry,Baidu Inc.,
303,Brooklyn,Ruiz,2021,Seattle,Computer Science,Intuit Inc.,
304,Brooklyn,Allen,2010,Los Angles,Civil Engineering,Pinterest Inc.,
305,Brooklyn,Alvarez,2007,dallas,Accounting,Microsoft Corporation,
306,Brooklyn,James,2017,San Fransisco,Mechanical engineering,Dell Technologies,
307,Brooklyn,Long,2019,Tampa,Electrical Engineering,Yelp Inc.,
308,Brooklyn,Torres,2020,New york,Phyisics,SquareSpace,
309,Brooklyn,Rogers,1992,Los Angles,Computer Science,Salesforce Inc.,
310,Brooklyn,Harris,2002,Tampa,Biology,HP Inc.,
311,Brooklyn,Patel,2021,Miami,Phyisics,Twilio Inc.,
312,Brooklyn,Mendoza,1994,New york,Business,Amazon.com Inc.,
313,Brooklyn,Diaz,1992,Tampa,Accounting,Slack Technologies,
314,Brooklyn,Anderson,1999,Los Angles,Phyisics,Cisco Systems,
315,Brooklyn,Bailey,1990,New york,Biology,SquareSpace,
316,Brooklyn,Campbell,2020,New york,Criminal Justice,Dropbox Inc.,
317,Brooklyn,Martinez,2020,Seattle,Mechanical engineering,Facebook Inc.,
318,Brooklyn,Jenkins,1991,Boise,Phyisics,Zillow Group,
319,Brooklyn,Carter,1995,New york,Computer Science,Oracle Corporation,
320,Brooklyn,Hall,1995,Miami,Mechanical engineering,Pinterest Inc.,
321,Brooklyn,Price,2019,New york,Biology,Salesforce Inc.,
322,Brooklyn,Phillips,2014,Miami,Accounting,TikTok Inc.,
323,Brooklyn,Hill,2017,Tampa,Computer Science,Dropbox Inc.,
324,Brooklyn,Garcia,1995,Quebec,Accounting,Atlassian Corporation,
325,Brooklyn,Lewis,1985,Los Angles,Computer Science,Robinhood Markets,
326,Brooklyn,Gray,1990,Austin,Business,Oracle Corporation,
327,Brooklyn,Ramos,2022,Austin,Civil Engineering,HP Inc.,
328,Brooklyn,Ross,2008,Boston,Chemistry,Yelp Inc.,
329,Brooklyn,Kelly,1978,Boston,Business,Intel Corporation,
330,Brooklyn,Wilson,2020,Boise,Accounting,Facebook Inc.,
331,Brooklyn,Moore,2011,Toronto,Criminal Justice,Pinterest Inc.,
332,Brooklyn,Rivera,1986,Quebec,Biology,Cisco Systems,
333,Brooklyn,Stewart,1986,Seattle,Phyisics,Square Inc.,
334,Brooklyn,Walker,1994,Miami,Criminal Justice,Alphabet Inc.,
335,Brooklyn,Evans,1992,Quebec,Computer Science,Salesforce Inc.,
336,Brooklyn,Young,2022,San Fransisco,Civil Engineering,Palantir Technologies,
337,Brooklyn,Collins,1976,Austin,Phyisics,Lyft Inc.,
338,Brooklyn,Taylor,1978,dallas,Electrical Engineering,Palantir Technologies,
339,Brooklyn,Clark,1994,Boise,Civil Engineering,Snap Inc.,
340,Brooklyn,Brown,2021,New york,Civil Engineering,Pinterest Inc.,
341,Brooklyn,Cook,1997,Tampa,Criminal Justice,Dropbox Inc.,
342,Brooklyn,Davis,1986,dallas,Chemistry,Intel Corporation,
343,Brooklyn,Brooks,1988,Boise,Civil Engineering,Baidu Inc.,
344,Brooklyn,Reyes,2021,New york,Civil Engineering,Baidu Inc.,
345,Brooklyn,Myers,2000,Los Angles,Accounting,PayPal Holdings,
346,Brooklyn,Scott,1989,San Fransisco,Biology,Salesforce Inc.,
347,Brooklyn,Murphy,1990,New york,Civil Engineering,NVIDIA Corporation,
348,Brooklyn,Foster,1997,Toronto,Civil Engineering,Zillow Group,
349,Brooklyn,Adams,2023,New york,Mechanical engineering,Cisco Systems,
350,Brooklyn,Williams,1996,Anchorage,Biology,Facebook Inc.,
351,Brooklyn,Thomas,2010,Tampa,Chemistry,Amazon.com Inc.,
352,Brooklyn,Gutierrez,1990,Austin,Electrical Engineering,Spotify Technology,
353,Brooklyn,Edwards,1985,Huston,Computer Science,Coinbase Global,
354,Brooklyn,Jackson,1992,Anchorage,Mechanical engineering,Alphabet Inc.,
355,Brooklyn,Jones,2023,Austin,Biology,Intel Corporation,
356,Brooklyn,Ward,1995,Tampa,Chemistry,Yelp Inc.,
357,Brooklyn,Thompson,1980,New york,Biology,Dropbox Inc.,
358,Brooklyn,Bennett,2008,Boston,Civil Engineering,Baidu Inc.,
359,Brooklyn,Lee,2019,Seattle,Phyisics,Qualcomm Inc.,
360,Brooklyn,Flores,2009,Boise,Mechanical engineering,Dropbox Inc.,
361,Brooklyn,Baker,1984,Boston,Phyisics,Baidu Inc.,
362,Brooklyn,King,1988,Toronto,Business,Atlassian Corporation,
363,Brooklyn,Cox,2003,Austin,Civil Engineering,HP Inc.,
364,Brooklyn,Richardson,2009,Austin,Chemistry,Airbnb Inc.,
365,Brooklyn,Gomez,2007,Miami,Criminal Justice,SquareSpace,
366,Brooklyn,White,2004,Seattle,Chemistry,Intel Corporation,
367,Brooklyn,Lopez,2015,Boston,Chemistry,Sony Corporation,
368,Brooklyn,Gonzalez,1992,Huston,Business,Zillow Group,
369,Brooklyn,Miller,2012,Boise,Criminal Justice,Pinterest Inc.,
370,Brooklyn,Kim,2016,Boise,Phyisics,HP Inc.,
371,Brooklyn,Mitchell,1993,Quebec,Criminal Justice,Coinbase Global,
372,Brooklyn,Hernandez,1998,Boise,Computer Science,Sony Corporation,
373,Brooklyn,Robinson,2024,Los Angles,Business,Coinbase Global,
374,Brooklyn,Wright,1996,Austin,Accounting,Lyft Inc.,
375,Brooklyn,Johnson,1987,Anchorage,Civil Engineering,Facebook Inc.,
376,Brooklyn,Ortiz,2021,Toronto,Mechanical engineering,Zoom Video Communications,
377,Brooklyn,Green,1998,Toronto,Criminal Justice,Tesla Inc.,
378,Brooklyn,Reed,2007,Anchorage,Civil Engineering,AMD Inc.,
379,Brooklyn,Parker,2017,Miami,Computer Science,Microsoft Corporation,
380,Brooklyn,Watson,2020,San Fransisco,Biology,Atlassian Corporation,
381,Brooklyn,Perez,2022,Huston,Mechanical engineering,Snap Inc.,
382,Brooklyn,Howard,2019,Huston,Criminal Justice,Oracle Corporation,
383,Brooklyn,Castillo,2012,Toronto,Criminal Justice,Adobe Inc.,
384,Brooklyn,Perry,1979,Los Angles,Chemistry,Pinterest Inc.,
385,Brooklyn,Wood,1980,Miami,Phyisics,Slack Technologies,
386,Brooklyn,Roberts,2000,Seattle,Accounting,Netflix Inc.,
387,Brooklyn,Peterson,2011,Boise,Mechanical engineering,Wayfair Inc.,
388,Brooklyn,Sanders,2003,New york,Criminal Justice,Netflix Inc.,
389,Brooklyn,Morales,2020,Los Angles,Biology,Zillow Group,
390,Brooklyn,Cooper,2006,Boise,Phyisics,PayPal Holdings,
391,Brooklyn,Jimenez,1991,Seattle,Biology,Yelp Inc.,
392,Brooklyn,Chavez,2017,dallas,Computer Science,Salesforce Inc.,
393,Brooklyn,Nguyen,1976,Los Angles,Electrical Engineering,Cisco Systems,
394,Brooklyn,Ramirez,1998,Quebec,Biology,PayPal Holdings,
